,HUMOR,CATEGORIA,INDICACAO,LINK_REF
,ANSIOSO,EXERCICIO,"Técnica 4-7-8: Inspire por 4s, segure por 7s e solte o ar por 8s. ",#
,ANSIOSO,MUSICA,"Ouça 'Weightless' de Marconi Union, cientificamente desenhada para relaxar.",https://tinyurl.com/weight-mia
,ANSIOSO,LIVRO,'Ansiedade: Como enfrentar o mal do século' - Augusto Cury.,https://tinyurl.com/cury-mia
,ANSIOSO,EXERCICIO,"Grounding 5-4-3-2-1: Identifique 5 coisas que vê, 4 que toca e 3 que ouve.",#
,ANSIOSO,MUSICA,Playlist Lo-fi Beats: Ritmos constantes para reduzir o ruído mental. ,https://tinyurl.com/lofi-mia
,ANSIOSO,ATIVIDADE,Coloque as mãos sob água fria por 30 segundos para baixar a frequência cardíaca.,#
,ANSIOSO,LIVRO,'O Poder do Agora' - Eckhart Tolle. Foco no presente.,https://tinyurl.com/tolle-mia
,ANSIOSO,EXERCICIO,"Respiração Quadrada: Inspire, segure, expire e mantenha vazio (4s cada). ",#
,ANSIOSO,MUSICA,'Clair de Lune' - Claude Debussy. Melodia clássica calmante.,#
,ANSIOSO,ATIVIDADE,Nomeie 10 tipos de frutas ou cidades para desviar o foco da crise.,#
,ANSIOSO,LIVRO,'Por que ninguém me disse isso antes?' - Dra. Julie Smith.,#
,ANSIOSO,EXERCICIO,Relaxamento Muscular Progressivo: Contraia e relaxe cada grupo muscular.,#
,ANSIOSO,MUSICA,'Strawberry Fields Forever' - The Beatles.,#
,ANSIOSO,ATIVIDADE,Organize uma gaveta pequena. O controle sobre o ambiente acalma a mente.,#
,ANSIOSO,LIVRO,'Meditações' - Marco Aurélio (Filosofia Estoica).,https://tinyurl.com/estoico-mia
,ANSIOSO,EXERCICIO,Olhe para o horizonte e tente focar no ponto mais distante que conseguir.,#
,TRISTE,MUSICA,'Don't Stop Me Now' - Queen. Ritmo que estimula a dopamina. ,https://tinyurl.com/queen-mia
,TRISTE,LIVRO,'O Pequeno Príncipe' - Antoine de Saint-Exupéry. ,#
,TRISTE,ATIVIDADE,Escreva 3 coisas pequenas pelas quais você é grato hoje. ,#
,TRISTE,MUSICA,'Walking on Sunshine' - Katrina & The Waves. ,https://tinyurl.com/sun-mia
,TRISTE,EXERCICIO,Caminhada leve de 10 minutos para observar o movimento da rua. ,#
,TRISTE,LIVRO,'Em Busca de Sentido' - Viktor Frankl.,https://tinyurl.com/frankl-mia
,TRISTE,MUSICA,'Happy' - Pharrell Williams. ,https://tinyurl.com/happy-mia
,TRISTE,ATIVIDADE,Tome um banho morno e imagine a água levando embora o peso do dia.,#
,TRISTE,LIVRO,'A Cabana' - William P. Young.,#
,TRISTE,MUSICA,'Lovely Day' - Bill Withers.,#
,TRISTE,EXERCICIO,Alongue os braços em direção ao teto e respire profundamente três vezes.,#
,TRISTE,ATIVIDADE,Cozinhe sua comida favorita da infância (Confort Food). ,#
,TRISTE,LIVRO,'O Alquimista' - Paulo Coelho.,#
,TRISTE,MUSICA,'I Will Survive' - Gloria Gaynor.,#
,TRISTE,ATIVIDADE,Assista a um vídeo de comédia curto ou um stand-up que você goste.,#
,TRISTE,EXERCICIO,Saia ao sol por 5 minutos para estimular a produção de vitamina D.,#
,RAIVA,ATIVIDADE,Escreva o que sente em um papel e rasgue-o com toda sua força. ,#
,RAIVA,EXERCICIO,Faça 20 polichinelos rápidos para queimar o excesso de adrenalina. ,#
